     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1024,         0,       512,   0.032,PymatchingGapSampler,fa07acd832628ab615a7950e66d49f62ecef29ab8105ac4c978b008bb87ecdec,"{""c"":""compiled-3q-multiplier-3-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.003}","{""C100"":4,""C101"":1,""C102"":3,""C103"":6,""C104"":2,""C105"":5,""C106"":4,""C107"":4,""C108"":5,""C110"":2,""C111"":4,""C112"":1,""C113"":3,""C114"":1,""C115"":6,""C116"":4,""C117"":2,""C118"":2,""C119"":1,""C120"":6,""C121"":7,""C122"":3,""C123"":5,""C124"":3,""C125"":1,""C126"":1,""C127"":1,""C128"":2,""C129"":2,""C130"":4,""C131"":2,""C132"":5,""C133"":3,""C134"":3,""C135"":6,""C136"":5,""C137"":2,""C138"":4,""C139"":319,""C35"":1,""C39"":1,""C44"":1,""C63"":1,""C69"":1,""C70"":1,""C72"":1,""C76"":1,""C80"":2,""C81"":1,""C83"":11,""C84"":2,""C85"":1,""C86"":2,""C87"":3,""C88"":3,""C89"":1,""C90"":5,""C91"":1,""C92"":2,""C93"":1,""C94"":3,""C95"":2,""C96"":8,""C97"":1,""C98"":5,""C99"":6}"
      1024,         0,       491,   0.027,PymatchingGapSampler,48745cbc9d131ede04aad5a664c79653032f86ac364eb54c884fc483279471f7,"{""c"":""compiled-3q-multiplier-2-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.002}","{""C100"":2,""C101"":2,""C102"":2,""C103"":3,""C105"":3,""C106"":4,""C107"":7,""C108"":3,""C109"":1,""C110"":4,""C111"":6,""C112"":1,""C113"":5,""C115"":1,""C116"":10,""C117"":2,""C118"":8,""C120"":5,""C121"":4,""C122"":1,""C123"":2,""C124"":2,""C125"":7,""C126"":1,""C127"":1,""C128"":4,""C129"":3,""C130"":2,""C131"":2,""C132"":3,""C133"":3,""C134"":6,""C135"":3,""C136"":4,""C138"":6,""C139"":357,""C32"":1,""C61"":1,""C63"":1,""C64"":1,""C67"":1,""C72"":1,""C74"":1,""C77"":2,""C78"":1,""C80"":3,""C81"":4,""C82"":1,""C83"":5,""C84"":1,""C85"":2,""C89"":1,""C90"":3,""C92"":1,""C93"":3,""C94"":4,""C95"":1,""C96"":1,""C97"":3,""C98"":5,""C99"":5}"
      1024,         0,       588,   0.032,PymatchingGapSampler,4a3d7bda5757f7bb69a442074b5181897af381a3b4dbe9ab72cc3997cc72a4c6,"{""c"":""compiled-3q-multiplier-12-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.012}","{""C102"":4,""C103"":8,""C105"":2,""C106"":3,""C107"":3,""C108"":2,""C109"":1,""C110"":1,""C111"":2,""C112"":2,""C114"":6,""C115"":3,""C116"":4,""C117"":3,""C118"":4,""C119"":1,""C120"":2,""C121"":1,""C122"":6,""C123"":3,""C124"":2,""C125"":6,""C126"":1,""C127"":3,""C128"":1,""C129"":1,""C130"":4,""C131"":4,""C132"":1,""C133"":2,""C134"":3,""C135"":3,""C136"":6,""C137"":5,""C138"":3,""C139"":279,""C59"":1,""C70"":1,""C74"":1,""C75"":2,""C78"":2,""C79"":1,""C83"":5,""C84"":1,""C86"":3,""C87"":4,""C88"":5,""C90"":4,""C91"":3,""C93"":5,""C94"":2,""C96"":4,""C97"":2,""C98"":2,""C99"":3}"
      1024,         0,       478,   0.043,PymatchingGapSampler,3b6c05e615564709dbfa395808f2e19641a9b1a0d8cff5bf6b0c54daa36894dc,"{""c"":""compiled-3q-multiplier-1-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.001}","{""C100"":3,""C101"":2,""C103"":4,""C104"":1,""C105"":5,""C106"":5,""C107"":1,""C108"":5,""C109"":3,""C110"":4,""C111"":2,""C112"":5,""C113"":3,""C114"":3,""C115"":2,""C116"":2,""C117"":8,""C118"":2,""C119"":2,""C120"":1,""C121"":3,""C122"":3,""C123"":2,""C124"":1,""C125"":6,""C126"":4,""C127"":1,""C128"":1,""C129"":1,""C130"":7,""C131"":2,""C132"":4,""C133"":5,""C134"":5,""C135"":6,""C136"":11,""C137"":1,""C138"":9,""C139"":354,""C29"":1,""C30"":1,""C45"":1,""C57"":1,""C59"":1,""C65"":1,""C66"":1,""C68"":1,""C73"":1,""C74"":1,""C78"":2,""C80"":1,""C81"":3,""C82"":1,""C83"":3,""C86"":3,""C87"":3,""C88"":3,""C89"":1,""C90"":3,""C91"":1,""C93"":2,""C94"":4,""C95"":1,""C96"":7,""C97"":5,""C98"":1,""C99"":3}"
      2048,         0,      1305,   0.049,PymatchingGapSampler,b5ef05b24abc92d86d9495c0b40efa77873b4d4896413cdea267f9f052052b98,"{""c"":""compiled-3q-multiplier-16-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.016}","{""C101"":4,""C102"":5,""C103"":2,""C104"":3,""C105"":4,""C106"":5,""C107"":7,""C108"":8,""C109"":5,""C110"":4,""C111"":1,""C112"":1,""C113"":7,""C114"":3,""C115"":4,""C116"":14,""C117"":6,""C118"":2,""C119"":1,""C120"":7,""C121"":4,""C123"":6,""C124"":2,""C125"":10,""C126"":1,""C127"":2,""C128"":6,""C129"":10,""C130"":10,""C131"":5,""C132"":6,""C133"":7,""C134"":5,""C135"":12,""C136"":5,""C137"":3,""C138"":468,""C36"":1,""C53"":1,""C54"":1,""C55"":1,""C63"":1,""C64"":1,""C68"":1,""C69"":1,""C76"":1,""C78"":1,""C81"":3,""C82"":1,""C83"":6,""C84"":3,""C85"":6,""C87"":5,""C88"":2,""C90"":7,""C91"":3,""C92"":4,""C94"":3,""C95"":3,""C96"":13,""C97"":2,""C98"":1,""C99"":16}"
      1024,         0,       502,   0.028,PymatchingGapSampler,fa07acd832628ab615a7950e66d49f62ecef29ab8105ac4c978b008bb87ecdec,"{""c"":""compiled-3q-multiplier-3-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.003}","{""C100"":2,""C101"":3,""C102"":1,""C103"":5,""C104"":1,""C105"":6,""C106"":1,""C107"":1,""C108"":6,""C109"":3,""C110"":1,""C111"":2,""C112"":1,""C113"":3,""C114"":2,""C115"":2,""C116"":13,""C117"":3,""C118"":6,""C119"":6,""C120"":5,""C122"":1,""C124"":1,""C125"":2,""C126"":3,""C127"":3,""C128"":5,""C129"":3,""C130"":2,""C131"":3,""C132"":4,""C133"":4,""C134"":7,""C135"":5,""C136"":2,""C137"":1,""C138"":4,""C139"":328,""C60"":1,""C63"":1,""C68"":2,""C73"":1,""C77"":1,""C81"":3,""C83"":9,""C84"":4,""C86"":2,""C87"":6,""C88"":4,""C89"":3,""C90"":5,""C91"":4,""C93"":4,""C94"":1,""C95"":3,""C96"":6,""C97"":1,""C98"":8,""C99"":2}"
      1024,         0,       460,   0.039,PymatchingGapSampler,48745cbc9d131ede04aad5a664c79653032f86ac364eb54c884fc483279471f7,"{""c"":""compiled-3q-multiplier-2-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.002}","{""C101"":2,""C102"":5,""C103"":4,""C104"":2,""C105"":4,""C106"":2,""C107"":4,""C108"":12,""C109"":3,""C110"":4,""C111"":2,""C112"":3,""C113"":3,""C114"":2,""C115"":5,""C116"":6,""C117"":5,""C118"":3,""C119"":4,""C120"":2,""C121"":1,""C122"":1,""C123"":5,""C124"":2,""C125"":5,""C126"":2,""C127"":3,""C128"":2,""C129"":1,""C130"":4,""C131"":4,""C132"":4,""C133"":3,""C134"":3,""C135"":2,""C136"":7,""C138"":5,""C139"":364,""C46"":1,""C50"":1,""C63"":1,""C69"":1,""C72"":1,""C75"":1,""C78"":1,""C79"":2,""C81"":2,""C83"":6,""C84"":6,""C86"":3,""C87"":3,""C88"":4,""C89"":1,""C90"":6,""C91"":3,""C92"":1,""C93"":5,""C94"":1,""C95"":2,""C96"":5,""C97"":4,""C98"":5,""C99"":3}"
      1024,         0,       472,   0.031,PymatchingGapSampler,3b6c05e615564709dbfa395808f2e19641a9b1a0d8cff5bf6b0c54daa36894dc,"{""c"":""compiled-3q-multiplier-1-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.001}","{""C100"":2,""C101"":2,""C102"":2,""C103"":3,""C104"":3,""C105"":4,""C106"":5,""C107"":3,""C108"":8,""C109"":4,""C110"":1,""C111"":4,""C112"":1,""C113"":1,""C114"":4,""C115"":3,""C116"":5,""C117"":8,""C118"":10,""C119"":2,""C120"":5,""C121"":3,""C122"":3,""C123"":2,""C125"":3,""C126"":6,""C130"":8,""C131"":1,""C132"":8,""C133"":4,""C134"":3,""C135"":4,""C136"":7,""C137"":1,""C138"":3,""C139"":359,""C25"":1,""C50"":1,""C56"":1,""C62"":1,""C72"":2,""C79"":1,""C80"":1,""C81"":3,""C82"":2,""C83"":6,""C84"":1,""C87"":5,""C88"":7,""C90"":5,""C91"":2,""C93"":1,""C94"":2,""C95"":3,""C96"":3,""C97"":6,""C98"":2,""C99"":1}"
      1024,         0,       457,   0.035,PymatchingGapSampler,fa07acd832628ab615a7950e66d49f62ecef29ab8105ac4c978b008bb87ecdec,"{""c"":""compiled-3q-multiplier-3-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.003}","{""C100"":2,""C101"":6,""C103"":4,""C104"":1,""C105"":2,""C107"":4,""C108"":1,""C110"":8,""C111"":3,""C112"":1,""C113"":5,""C114"":2,""C115"":5,""C116"":5,""C117"":4,""C118"":1,""C119"":1,""C120"":1,""C121"":3,""C122"":5,""C123"":6,""C124"":1,""C125"":4,""C126"":4,""C127"":2,""C128"":2,""C129"":3,""C130"":5,""C131"":2,""C132"":6,""C133"":5,""C134"":4,""C135"":4,""C136"":6,""C137"":2,""C138"":6,""C139"":380,""C31"":1,""C63"":1,""C64"":1,""C67"":1,""C68"":1,""C70"":2,""C71"":1,""C77"":1,""C78"":2,""C79"":1,""C80"":2,""C81"":1,""C82"":1,""C83"":9,""C84"":1,""C86"":2,""C87"":7,""C88"":3,""C89"":3,""C90"":5,""C91"":2,""C92"":1,""C94"":3,""C95"":2,""C96"":4,""C98"":2,""C99"":1}"
      2048,         0,      1355,   0.041,PymatchingGapSampler,b5ef05b24abc92d86d9495c0b40efa77873b4d4896413cdea267f9f052052b98,"{""c"":""compiled-3q-multiplier-16-rotated-HXY"",""d1"":3,""d2"":5,""d3"":9,""noise"":""uniform_atoms"",""p"":0.016}","{""C100"":1,""C101"":3,""C102"":11,""C103"":2,""C104"":3,""C105"":1,""C106"":1,""C107"":4,""C108"":4,""C109"":2,""C110"":2,""C111"":4,""C112"":2,""C113"":4,""C114"":4,""C115"":3,""C116"":12,""C117"":3,""C118"":2,""C119"":3,""C120"":6,""C121"":5,""C122"":2,""C123"":4,""C124"":3,""C125"":7,""C126"":2,""C127"":1,""C128"":5,""C129"":8,""C130"":9,""C131"":2,""C132"":7,""C133"":5,""C134"":2,""C135"":7,""C136"":5,""C137"":2,""C138"":451,""C25"":1,""C48"":1,""C63"":1,""C65"":2,""C66"":1,""C68"":1,""C77"":1,""C79"":1,""C81"":4,""C82"":4,""C83"":6,""C84"":3,""C85"":3,""C86"":3,""C87"":7,""C88"":2,""C89"":3,""C90"":5,""C92"":6,""C93"":3,""C94"":6,""C95"":2,""C96"":9,""C99"":14}"
