     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     98304,         0,     64470,   0.103,PostSelectionSampler,41175f95e7278ec937a40a024a7e236c688d4e4333d0d481c0a68b9d727419fc,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.002}",
     83968,         0,     23505,   0.103,PostSelectionSampler,99dbf6db4925636ff06e02d6dc2a088314a71776d00c701ae0037cc3a8b1f1f0,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0005}",
     97280,         0,     14141,   0.103,PostSelectionSampler,f88ed30557d518eec7ddfcfbfdbf7745f7d33e39af0ef7dc69f77f720c8f855b,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0003}",
     84992,         0,     41015,   0.103,PostSelectionSampler,982b9e33303faa9109987c8b9453091c61f8bb3aff6b7f8cb002205f823d003f,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.001}",
     84992,         0,     62004,   0.103,PostSelectionSampler,c58aa4226c2d121460050f15a324f5ea1331c4980be61a5f7d886ca18d0f018b,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.002}",
     84992,         0,     40815,   0.103,PostSelectionSampler,982b9e33303faa9109987c8b9453091c61f8bb3aff6b7f8cb002205f823d003f,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.001}",
     98304,         0,     40520,   0.103,PostSelectionSampler,90e97de366ab10f04db8d592fe01f40ef81f6df8f2cd83e67952328a07aea434,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.001}",
     84992,         0,     61836,   0.103,PostSelectionSampler,c58aa4226c2d121460050f15a324f5ea1331c4980be61a5f7d886ca18d0f018b,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.002}",
     98304,         0,     64420,   0.103,PostSelectionSampler,41175f95e7278ec937a40a024a7e236c688d4e4333d0d481c0a68b9d727419fc,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.002}",
     97280,         0,     39968,   0.103,PostSelectionSampler,90e97de366ab10f04db8d592fe01f40ef81f6df8f2cd83e67952328a07aea434,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.001}",
     83968,         0,     14930,   0.104,PostSelectionSampler,02f1587dcea8c00a6d7c911b187b387d7533954b921f2d812db24226adc5a8ab,"{""c"":""expansion-rotated-HXY-d3-d5-with-syndromes"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.0003}",
     97280,         0,     39862,   0.102,PostSelectionSampler,90e97de366ab10f04db8d592fe01f40ef81f6df8f2cd83e67952328a07aea434,"{""c"":""expansion-rotated-HXY-d3-d5"",""d1"":3,""d2"":5,""noise"":""uniform_atoms"",""p"":0.001}",
